"GeneSymbol","Median","HL","LASSO","BestModel"
"MAST2",5376.12580303043,5387.2658518213,5375.15103804908,"LASSO"
"MAT2A",8207.09119922462,8187.51925033685,8173.95725431555,"LASSO"
"MAT2B",8026.98572209331,7943.49150125599,7922.97274257928,"LASSO"
"MATR3",8322.77069832322,8330.11773370053,8551.53723602324,"Median"
"MAVS",6904.67024667042,6809.21101320641,6912.98339675947,"HL"
"MBD2",6624.98030028373,6542.47740791441,6568.76566748,"HL"
"MBD3",7084.95361625205,7075.834761016,7015.2945326885,"LASSO"
"MBNL1",7180.20130954611,7041.58413203756,6964.02622624889,"LASSO"
"MBOAT7",7432.02451669168,7178.79149941648,7173.13784378594,"LASSO"
"MCAM",7949.21749890615,7619.23688136451,7560.51193294599,"LASSO"
"MCAT",5931.8220560858,5890.57746196699,6034.76055559392,"HL"
"MCC",6180.70179720048,6189.1125929441,6194.77901963221,"Median"
"MCCC1",7361.40254129775,7250.70261091992,7310.13397493866,"HL"
"MCCC2",7716.77739097028,7608.05257987358,7615.16045851986,"HL"
"MCFD2",5218.6647065767,5215.66455794538,5221.16988948131,"HL"
"MCM2",8180.18294038415,8094.95357072624,8098.41568949479,"HL"
"MCM3",8071.84405498706,8036.57175965316,8030.02765262067,"LASSO"
"MCM4",7928.89850179869,7873.81988064645,7930.05550310453,"HL"
"MCM5",8134.7747585024,8096.97170783812,8049.27893598101,"LASSO"
"MCM6",7938.24599561429,7846.94229785239,7984.42141118483,"HL"
"MCM7",8132.34696163123,8117.94538831116,8096.30781709945,"LASSO"
"MCMBP",7158.65729797,7102.67119061325,7056.49367956033,"LASSO"
"MCRIP1",7058.60944716717,6966.49277837574,7015.0788788261,"HL"
"MCTS1",7739.73933638205,7740.74465049478,7880.39406779356,"Median"
"MCU",6910.0561819811,6652.31971506403,6665.89860250235,"HL"
"MDC1",7376.11001293824,7291.06779709225,7295.41907817557,"HL"
"MDH1",9144.46055438047,9062.74159296897,9173.09278066361,"HL"
"MDH2",9566.51039704808,9460.14503727382,9579.97139477346,"HL"
"MDN1",6999.69516544371,6942.14417010289,6955.39067550828,"HL"
"MDP1",5951.05335349281,5855.41934753078,5809.50910050577,"LASSO"
"ME1",6169.02603851595,5990.104588958,5978.45213351647,"LASSO"
"ME2",7738.58619345412,7548.19064425172,7664.00619525803,"HL"
"MEAK7",7264.36867966283,7003.40272615272,NA,"HL"
"MECP2",5389.48560927111,5300.75807693601,5306.66887358005,"HL"
"MECR",8630.27177244424,8591.04110827708,8659.94133937768,"HL"
"MED14",4366.6874537044,4377.35202170439,4461.77970784243,"Median"
"MED15",6325.63451573668,6240.58054713469,NA,"HL"
"MED17",6653.82752707442,6660.04320665521,6782.52924946259,"Median"
"MED22",6576.27779844963,6579.03568367251,6737.12848955025,"Median"
"MED23",6435.25736440234,6440.51338966044,6444.45943456946,"Median"
"MED30",5935.61718978304,5935.00139541605,6021.75549538697,"HL"
"MED4",5235.44841171812,5245.69879141314,5337.89048546084,"Median"
"MED8",7700.40713547195,7706.49735866092,7738.29215579778,"Median"
"MEF2D",6418.75376001005,6118.77916178176,6090.11991204073,"LASSO"
"MELTF",8195.02111339097,8014.23356538046,8001.59354337136,"LASSO"
"MEMO1",7036.8218707293,6989.14975996059,7022.96969434249,"HL"
"MEPCE",5558.5424742315,5422.95361149398,5450.80211129709,"HL"
"MESD",7773.08674886468,7633.28367581465,7654.65090623653,"HL"
"METAP1",7164.66286081305,7091.04204070387,7122.33574529997,"HL"
"METAP2",7382.87305737723,7285.76277004506,7292.11653782765,"HL"
"METTL1",5717.87712977553,5706.67146192496,5684.18531656274,"LASSO"
"METTL13",6985.04750677752,6901.88586623554,6903.2600953906,"HL"
"METTL14",5337.82536648544,5306.52388552696,5326.86784079227,"HL"
